Provinsi;Singkatan ISO;Ibukota;Populasi(Proyeksi BPS 2014);Luas Total (km2);APBD 2014 (miliar rupiah) 
Yogyakarta;YO;Yogyakarta;3553100;3133;3662.33
Kalimantan Utara;KU;Tanjungselor;618384;71177;2299.6
Kepulauan Riau;KR;Tanjung Pinang;1917415;8084;3944.69
Jawa Timur;JI;Surabaya;38610202;47921;18786.51
Maluku Utara;MU;Sofifi;1138667;42960;1599.66
Banten;BT;Serang;11704877;9019;8398.2
Jawa Tengah;JT;Semarang;33522663;33987;14336.87
Kalimantan Timur;KI;Samarinda;3351432;194849;15731.1
Kalimantan Barat;KB;Pontianak;4716093;115114;3929.94
Riau;RI;Pekanbaru;6188442;94560;9425.83
Kepulauan Bangka Belitung;BB;Pangkalpinang;1343900;16424;2276.18
Sulawesi Tengah;ST;Palu;2831283;68090;2514.84
Sumatera Selatan;SS;Palembang;7941500;85679;7697.99
Kalimantan Tengah;KT;Palangkaraya;2439858;153564;3510.91
Sumatera Barat;SB;Padang;5131900;42297;3887.84
Sumatera Utara;SU;Medan;13766851;72981;8565.53
Nusa Tenggara Barat;NB;Mataram;4773795;19950;2884.89
Papua Barat;PB;Manokwari;849809;114566;6570.74
Sulawesi Utara;SA;Manado;2386604;13931;2625.93
Sulawesi Barat;SR;Mamuju;1258090;16787;1388.27
Sulawesi Selatan;SN;Makassar;8432163;46116;6186.39
Nusa Tenggara Timur;NT;Kupang;5036897;47676;2916.88
Sulawesi Tenggara;SG;Kendari;2448081;36757;2416.99
Papua;PA;Jayapura;3091047;309934;12141.3
Jambi;JA;Jambi;3344400;53509;3548.66
Jakarta;JK;Jakarta;10012271;740;79285.13
Gorontalo;GO;Gorontalo;1115633;11968;1406.32
Bali;BA;Denpasar;4104900;5561;5461.18
Bengkulu;BE;Bengkulu;1844800;19789;2012.91
Kalimantan Selatan;KS;Banjarmasin;3922790;36805;6010.91
Jawa Barat;JB;Bandung;46029668;35245;23067.2
Lampung;LA;Bandar Lampung;8026191;35376;4350.25
Aceh;AC;Banda Aceh;4906835;57365;15572.5
Maluku;MA;Ambon;1657409;49350;2013.83
